Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
A10A_S16_L004_R1_001	A10A_S16_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50563430.0	0.0	35-126	48.0	38.40363220000948	116.7064417900447	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
A10A_S16_L004_R2_001	A10A_S16_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50563430.0	0.0	35-126	47.0	41.96659809051544	116.69682954657151	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
A12A_S17_L004_R1_001	A12A_S17_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47786191.0	0.0	35-126	48.0	37.527451745772744	115.73601327630402	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
A12A_S17_L004_R2_001	A12A_S17_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47786191.0	0.0	35-126	48.0	41.84410511814358	115.80043682493965	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
A12B_S18_L004_R1_001	A12B_S18_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48092751.0	0.0	35-126	48.0	49.72686857875302	115.41792092533862	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
A12B_S18_L004_R2_001	A12B_S18_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48092751.0	0.0	35-126	48.0	53.801011331961526	115.56488860452171	pass	pass	warn	pass	fail	fail	pass	warn	warn	warn	pass
CM15_S45_L002_R1_001	CM15_S45_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37881195.0	0.0	35-126	46.0	48.596149583308815	121.40583468921717	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
CM15_S45_L002_R2_001	CM15_S45_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37881195.0	0.0	35-126	46.0	52.89516114303362	121.35353058423843	pass	pass	warn	pass	fail	fail	pass	warn	warn	warn	pass
CM30_S43_L002_R1_001	CM30_S43_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44162927.0	0.0	35-126	48.0	33.482640210554706	118.00439581371045	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
CM30_S43_L002_R2_001	CM30_S43_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44162927.0	0.0	35-126	48.0	38.01678904416165	118.00552617357087	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
CM39_S7_L003_R1_001	CM39_S7_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26357222.0	0.0	35-126	49.0	40.70838525483064	117.97171978139426	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
CM39_S7_L003_R2_001	CM39_S7_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26357222.0	0.0	35-126	49.0	43.417199478948085	118.00747385289694	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
CM46_S9_L003_R1_001	CM46_S9_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39344356.0	0.0	35-126	46.0	40.50686273989648	118.42669220459473	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
CM46_S9_L003_R2_001	CM46_S9_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39344356.0	0.0	35-126	45.0	43.728184142148876	118.39603245761603	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
CM54_S10_L003_R1_001	CM54_S10_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50502618.0	0.0	35-126	47.0	45.1347065805298	115.60278241417109	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
