Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
A10A_S16_L004_R1_001	61.59636779999052	48.0	116.7064417900447	36.36363636363637	50563430.0
A10A_S16_L004_R2_001	58.03340190948456	47.0	116.69682954657151	27.27272727272727	50563430.0
A12A_S17_L004_R1_001	62.472548254227256	48.0	115.73601327630402	36.36363636363637	47786191.0
A12A_S17_L004_R2_001	58.15589488185642	48.0	115.80043682493965	27.27272727272727	47786191.0
A12B_S18_L004_R1_001	50.27313142124698	48.0	115.41792092533862	36.36363636363637	48092751.0
A12B_S18_L004_R2_001	46.198988668038474	48.0	115.56488860452171	18.181818181818183	48092751.0
CM15_S45_L002_R1_001	51.403850416691185	46.0	121.40583468921717	27.27272727272727	37881195.0
CM15_S45_L002_R2_001	47.10483885696638	46.0	121.35353058423843	18.181818181818183	37881195.0
CM30_S43_L002_R1_001	66.5173597894453	48.0	118.00439581371045	36.36363636363637	44162927.0
CM30_S43_L002_R2_001	61.98321095583835	48.0	118.00552617357087	27.27272727272727	44162927.0
CM39_S7_L003_R1_001	59.29161474516936	49.0	117.97171978139426	27.27272727272727	26357222.0
CM39_S7_L003_R2_001	56.582800521051915	49.0	118.00747385289694	27.27272727272727	26357222.0
CM46_S9_L003_R1_001	59.49313726010352	46.0	118.42669220459473	27.27272727272727	39344356.0
CM46_S9_L003_R2_001	56.271815857851124	45.0	118.39603245761603	27.27272727272727	39344356.0
CM54_S10_L003_R1_001	54.8652934194702	47.0	115.60278241417109	27.27272727272727	50502618.0
CM54_S10_L003_R2_001	51.37926998582831	47.0	115.65715195200376	27.27272727272727	50502618.0
CM71_S44_L002_R1_001	63.198027664389315	48.0	121.03768128042381	36.36363636363637	44554935.0
CM71_S44_L002_R2_001	58.83999063105161	48.0	120.98303907300055	27.27272727272727	44554935.0
CM75_S8_L003_R1_001	55.65101268739709	48.0	120.19284912800298	27.27272727272727	41639649.0
CM75_S8_L003_R2_001	52.73404321456335	47.0	120.11999495961169	27.27272727272727	41639649.0
CM8_S13_L004_R1_001	45.826258753349514	48.0	117.14635476700835	27.27272727272727	37482995.0
CM8_S13_L004_R2_001	42.21786533335056	48.0	117.22594499185564	18.181818181818183	37482995.0
M102_S19_L005_R1_001	53.097701188598315	46.0	119.8756851355464	18.181818181818183	51192060.0
M102_S19_L005_R2_001	49.54738410594489	46.0	119.84547693529035	18.181818181818183	51192060.0
M108_S21_L005_R1_001	70.97252656231997	47.0	117.8692852920557	27.27272727272727	36747066.0
M108_S21_L005_R2_001	69.2742743124657	47.0	117.89355639984971	27.27272727272727	36747066.0
M10_S14_L004_R1_001	48.13062082073246	48.0	115.59435215726518	27.27272727272727	42522218.0
M10_S14_L004_R2_001	44.935768781292666	48.0	115.69275544375414	18.181818181818183	42522218.0
M20_S42_L002_R1_001	49.91837481339936	46.0	118.82013124208905	18.181818181818183	45427500.0
M20_S42_L002_R2_001	44.95810328221908	46.0	118.80084314567168	9.090909090909092	45427500.0
M29_S12_L003_R1_001	83.15601693582477	46.0	117.74799074918673	27.27272727272727	30274095.0
M29_S12_L003_R2_001	79.32579650115446	46.0	117.6733929783863	27.27272727272727	30274095.0
M49_S15_L004_R1_001	48.59559329326566	47.0	117.22436804318177	27.27272727272727	40731264.0
M49_S15_L004_R2_001	44.73643663661311	47.0	117.18416899608124	18.181818181818183	40731264.0
M692_S11_L003_R1_001	53.92752467988958	49.0	115.87298913457926	27.27272727272727	44742676.0
M692_S11_L003_R2_001	51.35248619908861	49.0	115.99131603125392	27.27272727272727	44742676.0
M7_S40_L002_R1_001	52.41687058478409	47.0	120.73313003956777	27.27272727272727	45454419.0
M7_S40_L002_R2_001	47.58325550009283	47.0	120.72878529148068	18.181818181818183	45454419.0
M8_S41_L002_R1_001	51.72199049312575	46.0	122.0947031486292	27.27272727272727	37421269.0
M8_S41_L002_R2_001	47.03486535902554	46.0	122.01442639478634	9.090909090909092	37421269.0
M94_S20_L005_R1_001	57.199843172733026	49.0	116.40454500501038	27.27272727272727	50537062.0
M94_S20_L005_R2_001	53.75897904611805	49.0	116.48521257527793	27.27272727272727	50537062.0
